RowID,EntryID,Account,Folio,Date,EntryText,Place,Event,Notes
76,V2166,Vernon,55v,1643-03-04,162 p[ai]d Captaine daniell welky & Captaine Robert melvill captains of foot compa[nies] for on mo[nths] pay uppon acc[oun]tt being presentlie to be imployed in the service in North hampton shir £42 - -s - -d,Northampton,,
77,V2287,Vernon,58r,1643-04-10,166 p[ai]d Coll[onel] George Melve to be by him paid to sergeant major heborne beinge soe much by him p[ai]d to some of the officers of the Army now prisoners at Oxford £30 - 0s - 0d,Oxford,,
78,V2423,Vernon,61r,1643-04-13,178 p[ai]d m[istres]s Primrose toward[es] her husband Capt[ain] Primrose pay now a prison[e]r in oxford £20 - 0s - 0d,Oxford,,
79,F0171,Fenton,99v,1643-07-29,p[ai]d John Brette for [th]e use of [th]e prison[e]rs at oxford £100 - 0s - 0d,Oxford,,
80,F0241,Fenton,100v,1643-08-12,p[ai]d m[aste]r Baldwin to bee sent to [th]e prison[e]rs at oxford £39 - 12s - 11d,Oxford,,
81,V3072,Vernon,74r,1643-08-18,27 p[ai]d Cheyny fuller late prisoner in oxford for who was leifft[enant] of Cap[tain] Hailes troop for a mo[nths] pay uppon accompt of the arrears £25 - 4s - 0d,Oxford,,
82,V3075,Vernon,74r,1643-08-18,p[ai]d Jo[hn] overton dragon[er] late prisoner in Oxford uppon accompt of his arrears £2 - 2s - -d,Oxford,,
83,V3249,Vernon,77r,1643-08-26,201 p[ai]d Georg Forbes Capt[ain] of a compa[ny] of drago[ons] in Coll[onel] wardlaws Regi[men]t and late prisoner at oxford toward[es] his arrears £28 - -s - -d,Oxford,,
84,V0116,Vernon,8r,1642-08-12,27 p[ai]d Roger Wise Ingineer goinge to the countye of southampton £15 - 0s - 0d,"Portsmouth, Hampshire",siege,
85,V0117,Vernon,8r,1642-08-12,28 p[ai]d Rob[er]t Good Captaine of the pioners goinge for the same place £10 - 0s - 0d,"Portsmouth, Hampshire",siege,
86,V0118,Vernon,8r,1642-08-12,p[ai]d Thomas Mathew and 6 other of his companions for intelligence out of Portsmouth £14 - 0s - 0d,"Portsmouth, Hampshire",siege,
87,V0193,Vernon,10r,1642-08-16,p[ai]d John Bigg[es] late store keep[e]r of Portsmouth for his losses and expences in that business £20 - 0s - 0d,"Portsmouth, Hampshire",,
88,V0441,Vernon,17r,1642-09-01,sallery 103 p[ai]d Docter Burges for postage & other charges from London to Portsmouth £5 - 7s - 0d,"Portsmouth, Hampshire",,
89,V0478,Vernon,18r,1642-09-02,75 p[ai]d S[i]r John Meldrum Commander in cheif of the forces befor Portsmouth for on months entertainm[en]t at 40s p[er] diem commencing 15 aug[us]t last £56 - 0s - 0d,"Portsmouth, Hampshire",siege,
90,V0569,Vernon,20v,1642-09-05,4 p[ai]d S[i]r w[illia]m Lewis by way of imprest for the service of Portsmouth £2000 - 0s - 0d,"Portsmouth, Hampshire",siege,
91,V2106,Vernon,54r,1642-10-01,8 p[ai]d S[i]r w[illia]m waler [th]e 1 [Octo]bre for amunition of powther and shot by him taken up when he went to take Portsmouth £34 - 10s - 0d,"Portsmouth, Hampshire",siege,
92,V0876,Vernon,28r,1642-10-07,21 p[ai]d olive Reiston widdow the relict of will[ia]m Reiston liefftenn[an]t to Capt[ain] Anslme slaine near worster for her releif £20 - 0s - 0d,"Powick Bridge, Worcestershire",battle,
93,V0877,Vernon,28r,1642-10-07,21 p[ai]d Elizabeth Daniel his Cornet[es] wiffe John Daniell likewise slaine ther for her releif £20 - 0s - 0d,"Powick Bridge, Worcestershire",battle,
94,V0935,Vernon,29v,1642-10-11,100 p[ai]d Doct[o]r Richard Gardiner phisision of the Army by him to be destributed to the maymed sold[ier]s £50 - 0s - 0d,"Powick Bridge, Worcestershire",battle,
95,V0977,Vernon,30v,1642-10-15,p[ai]d m[aste]r George Haward who was imployed & wounded in the late service at worcester £20 - -s - -d,"Powick Bridge, Worcestershire",battle,
96,V0978,Vernon,30v,1642-10-15,100 p[ai]d Docter Richard Gardner to be distributed to sicke & maimed sold[ier]s in wo[rceste]r £30 - 0s - 0d,"Powick Bridge, Worcestershire",battle,
97,V1037,Vernon,32r,1642-10-19,80 p[ai]d Lawrence Loe my lord g[enera]ll[es] surgeon toward[es] the payment of the cures of divers maimed sold[ier]s left in the Cittie £40 - 0s - 0d,"Powick Bridge, Worcestershire",battle,
98,V2358,Vernon,59v,1643-04-12,32 p[ai]d widdow dowglas [th]e relict of major dowglas slaine at worcester £50 - -s - -d,"Powick Bridge, Worcestershire",battle,
99,V2437,Vernon,61r,1643-04-21,142 p[ai]d Coll[onel] Barkly for a reward for some of his sold[ier]s for speciall service donn at Redding £20 - -s - -d,"Reading, Berkshire",siege,
100,V2439,Vernon,61r,1643-04-22,75 p[ai]d S[i]r Jo[hn] Meldrom by way of reward for sold[ier]s workinge in [th]e aproches at Reddinge £10 - 0s - 0d,"Reading, Berkshire",siege,
101,V2461,Vernon,61v,1643-04-25,137 given the soldiers of Coll[onel] Holborns Regi[men]t for workinge in the trenches £20 - 0s - 0d,"Reading, Berkshire",siege,
